ev,iter,si,parent,g,h,f,uncs,nodes,reason
pop,1,1,-1,0.0,,,0.945742;0.945742,1;1,
push,1,2,1,100.0,1000.0,1100.0,1.161851;1.161851,265;265,
push,1,3,1,100.0,1000.0,1100.0,1.182545;1.161851,181;265,
push,1,4,1,99.99999999999994,1100.0,1200.0,1.182545;1.182545,181;181,
push,1,5,1,100.00000000000003,1000.0,1100.0,1.161851;1.182545,265;344,
push,1,6,1,100.00000000000003,1000.0,1100.0,1.182545;1.182545,181;344,
push,1,7,1,100.00000000000003,1000.0,1100.0,1.182545;1.182545,344;344,
pop,2,2,1,100.0,,,1.161851;1.161851,265;265,
prune,2,0,2,200.0,,,1.323325;1.323325,271;271,obstacle:1
prune,2,0,2,200.0,,,1.395514;1.323325,187;271,obstacle:2
push,2,8,2,199.99999999999994,1000.0,1200.0,1.395514;1.395514,187;187,
prune,2,0,2,200.00000000000003,,,1.323325;1.395514,271;350,obstacle:1
push,2,9,2,200.00000000000003,900.0,1100.0,1.395514;1.395514,187;350,
push,2,10,2,200.00000000000003,900.0,1100.0,1.395514;1.395514,350;350,
pop,3,3,1,100.0,,,1.182545;1.161851,181;265,
prune,3,0,3,200.0,,,1.3512;1.323325,103;271,obstacle:2
prune,3,0,3,200.0,,,1.40762;1.323325,96;271,obstacle:2
prune,3,0,3,200.0,,,1.395514;1.323325,182;271,obstacle:2
push,3,11,3,199.99999999999994,1000.0,1200.0,1.395514;1.395514,182;187,
push,3,12,3,200.00000000000003,900.0,1100.0,1.3512;1.395514,103;350,
push,3,13,3,200.00000000000003,900.0,1100.0,1.40762;1.395514,96;350,
push,3,14,3,200.00000000000003,900.0,1100.0,1.395514;1.395514,182;350,
pop,4,7,1,100.00000000000003,,,1.182545;1.182545,344;344,
push,4,15,7,200.00000000000006,1000.0,1200.0,1.3512;1.3512,434;434,
push,4,16,7,200.00000000000006,1000.0,1200.0,1.395514;1.3512,349;434,
push,4,17,7,200.00000000000006,1000.0,1200.0,1.40762;1.3512,429;434,
push,4,18,7,200.00000000000003,900.0,1100.0,1.395514;1.395514,349;349,
push,4,19,7,200.00000000000006,1200.0,1400.0,1.3512;1.40762,434;429,
push,4,20,7,200.00000000000006,1200.0,1400.0,1.395514;1.40762,349;429,
push,4,21,7,200.00000000000006,1200.0,1400.0,1.40762;1.40762,429;429,
pop,5,6,1,100.00000000000003,,,1.182545;1.182545,181;344,
push,5,22,6,200.00000000000006,1000.0,1200.0,1.3512;1.3512,103;434,
push,5,23,6,200.00000000000006,1000.0,1200.0,1.40762;1.3512,96;434,
push,5,24,6,200.00000000000006,1000.0,1200.0,1.395514;1.3512,182;434,
push,5,25,6,200.00000000000003,900.0,1100.0,1.3512;1.395514,103;349,
push,5,26,6,200.00000000000003,900.0,1100.0,1.40762;1.395514,96;349,
push,5,27,6,200.00000000000003,900.0,1100.0,1.395514;1.395514,182;349,
push,5,28,6,200.00000000000006,1200.0,1400.0,1.3512;1.40762,103;429,
push,5,29,6,200.00000000000006,1200.0,1400.0,1.40762;1.40762,96;429,
push,5,30,6,200.00000000000006,1200.0,1400.0,1.395514;1.40762,182;429,
pop,6,5,1,100.00000000000003,,,1.161851;1.182545,265;344,
prune,6,0,5,200.00000000000006,,,1.323325;1.3512,271;434,obstacle:1
push,6,31,5,200.00000000000006,1000.0,1200.0,1.395514;1.3512,187;434,
push,6,32,5,200.00000000000006,1000.0,1200.0,1.395514;1.3512,350;434,
prune,6,0,5,200.00000000000003,,,1.323325;1.395514,271;349,obstacle:1
push,6,33,5,200.00000000000003,900.0,1100.0,1.395514;1.395514,187;349,
push,6,34,5,200.00000000000003,900.0,1100.0,1.395514;1.395514,350;349,
prune,6,0,5,200.00000000000006,,,1.323325;1.40762,271;429,obstacle:1
push,6,35,5,200.00000000000006,1200.0,1400.0,1.395514;1.40762,187;429,
push,6,36,5,200.00000000000006,1200.0,1400.0,1.395514;1.40762,350;429,
pop,7,10,2,200.00000000000003,,,1.395514;1.395514,350;350,
push,7,37,10,300.00000000000006,900.0,1200.0,1.564118;1.564118,440;440,
prune,7,0,10,300.00000000000006,,,1.555333;1.564118,355;440,obstacle:1
push,7,38,10,300.00000000000006,900.0,1200.0,1.601474;1.564118,435;440,
prune,7,0,10,300.0,,,1.555333;1.555333,355;355,obstacle:1
push,7,39,10,300.00000000000006,1100.0,1400.0,1.564118;1.601474,440;435,
prune,7,0,10,300.00000000000006,,,1.555333;1.601474,355;435,obstacle:1
push,7,40,10,300.00000000000006,1100.0,1400.0,1.601474;1.601474,435;435,
pop,8,9,2,200.00000000000003,,,1.395514;1.395514,187;350,
push,8,41,9,300.00000000000006,900.0,1200.0,1.564118;1.564118,109;440,
push,8,42,9,300.00000000000006,900.0,1200.0,1.601474;1.564118,102;440,
prune,8,0,9,300.00000000000006,,,1.555333;1.564118,188;440,obstacle:1
prune,8,0,9,300.0,,,1.564118;1.555333,109;355,obstacle:2
prune,8,0,9,300.0,,,1.601474;1.555333,102;355,obstacle:2
prune,8,0,9,300.0,,,1.555333;1.555333,188;355,obstacle:1
push,8,43,9,300.00000000000006,1100.0,1400.0,1.564118;1.601474,109;435,
push,8,44,9,300.00000000000006,1100.0,1400.0,1.601474;1.601474,102;435,
prune,8,0,9,300.00000000000006,,,1.555333;1.601474,188;435,obstacle:1
pop,9,18,7,200.00000000000003,,,1.395514;1.395514,349;349,
prune,9,0,18,300.0,,,1.555333;1.555333,355;355,obstacle:1
prune,9,0,18,300.00000000000006,,,1.555333;1.601474,355;276,obstacle:1
prune,9,0,18,300.00000000000006,,,1.601474;1.601474,276;276,obstacle:1
prune,9,0,18,300.00000000000006,,,1.564118;1.601474,440;276,obstacle:2
prune,9,0,18,300.00000000000006,,,1.555333;1.564118,355;440,obstacle:1
prune,9,0,18,300.00000000000006,,,1.601474;1.564118,276;440,obstacle:1
push,9,45,18,300.00000000000006,900.0,1200.0,1.564118;1.564118,440;440,
pop,10,34,5,200.00000000000003,,,1.395514;1.395514,350;349,
prune,10,0,34,300.0,,,1.555333;1.555333,355;355,obstacle:1
prune,10,0,34,300.00000000000006,,,1.564118;1.601474,440;276,obstacle:2
prune,10,0,34,300.00000000000006,,,1.555333;1.601474,355;276,obstacle:1
prune,10,0,34,300.00000000000006,,,1.601474;1.601474,435;276,obstacle:2
push,10,46,34,300.00000000000006,900.0,1200.0,1.564118;1.564118,440;440,
prune,10,0,34,300.00000000000006,,,1.555333;1.564118,355;440,obstacle:1
push,10,47,34,300.00000000000006,900.0,1200.0,1.601474;1.564118,435;440,
pop,11,33,5,200.00000000000003,,,1.395514;1.395514,187;349,
prune,11,0,33,300.0,,,1.564118;1.555333,109;355,obstacle:2
prune,11,0,33,300.0,,,1.601474;1.555333,102;355,obstacle:2
prune,11,0,33,300.0,,,1.555333;1.555333,188;355,obstacle:1
prune,11,0,33,300.00000000000006,,,1.564118;1.601474,109;276,obstacle:2
prune,11,0,33,300.00000000000006,,,1.601474;1.601474,102;276,obstacle:2
prune,11,0,33,300.00000000000006,,,1.555333;1.601474,188;276,obstacle:1
push,11,48,33,300.00000000000006,900.0,1200.0,1.564118;1.564118,109;440,
push,11,49,33,300.00000000000006,900.0,1200.0,1.601474;1.564118,102;440,
prune,11,0,33,300.00000000000006,,,1.555333;1.564118,188;440,obstacle:1
pop,12,13,3,200.00000000000003,,,1.40762;1.395514,96;350,
push,12,50,13,300.00000000000006,900.0,1200.0,1.572757;1.564118,6;440,
push,12,51,13,300.00000000000006,900.0,1200.0,1.601474;1.564118,89;440,
push,12,52,13,300.00000000000006,900.0,1200.0,1.572757;1.564118,13;440,
prune,12,0,13,300.0,,,1.572757;1.555333,6;355,obstacle:2
