iter,agent,ctrl_index,x,y
0,1,1,0.000000,0.000000
0,1,2,50.000000,-86.602540
0,1,3,100.000000,-173.205081
0,1,4,200.000000,-173.205081
0,1,5,300.000000,-173.205081
0,1,6,400.000000,-173.205081
0,1,7,500.000000,-173.205081
0,1,8,600.000000,-173.205081
0,1,9,700.000000,-173.205081
0,1,10,750.000000,-86.602540
0,1,11,800.000000,0.000000
0,1,12,850.000000,86.602540
0,1,13,950.000000,86.602540
0,2,1,0.000000,0.000000
0,2,2,50.000000,86.602540
0,2,3,100.000000,173.205081
0,2,4,200.000000,173.205081
0,2,5,300.000000,173.205081
0,2,6,400.000000,173.205081
0,2,7,500.000000,173.205081
0,2,8,600.000000,173.205081
0,2,9,700.000000,173.205081
0,2,10,800.000000,173.205081
0,2,11,850.000000,86.602540
0,2,12,950.000000,86.602540
0,2,13,1050.000000,86.602540
1,1,1,0.000000,0.000000
1,1,2,50.500000,-86.102540
1,1,3,100.500000,-172.705081
1,1,4,200.500000,-172.705081
1,1,5,300.499999,-173.705081
1,1,6,399.500045,-173.705081
1,1,7,499.500001,-173.705081
1,1,8,599.500000,-172.705081
1,1,9,699.500000,-172.705081
1,1,10,749.500000,-86.102540
1,1,11,800.500000,-0.500000
1,1,12,850.500000,86.102540
1,1,13,949.500000,86.102540
1,2,1,0.000000,0.000000
1,2,2,49.500000,87.102540
1,2,3,99.500000,173.705081
1,2,4,199.500000,173.705081
1,2,5,299.500010,173.705081
1,2,6,399.500016,173.705081
1,2,7,500.499999,173.705081
1,2,8,600.500000,173.705081
1,2,9,700.500000,173.705081
1,2,10,800.500000,173.705081
1,2,11,850.500000,86.102540
1,2,12,950.499998,86.102540
1,2,13,1050.000000,86.602540
2,1,1,0.000000,0.000000
2,1,2,50.861767,-85.690141
2,1,3,100.915571,-172.277692
2,1,4,200.952309,-172.616924
2,1,5,300.992358,-174.155848
2,1,6,399.000692,-174.162540
2,1,7,499.003227,-174.155653
2,1,8,599.041712,-172.882666
2,1,9,699.081708,-172.270827
2,1,10,749.471110,-85.704829
2,1,11,800.914678,-0.910127
2,1,12,850.949426,85.669691
2,1,13,949.081894,85.712203
2,2,1,0.000000,0.000000
2,2,2,49.190939,87.221101
2,2,3,99.315385,173.767096
2,2,4,199.551672,174.119634
2,2,5,299.705897,174.203603
2,2,6,399.000444,174.204388
2,2,7,500.999708,174.204384
2,2,8,600.999325,174.203468
2,2,9,700.293318,173.992331
2,2,10,800.261840,173.492324
2,2,11,850.955613,86.275778
2,2,12,950.883656,85.960282
2,2,13,1050.000000,86.602540
3,1,1,0.000000,0.000000
3,1,2,51.132122,-85.328026
3,1,3,101.283531,-171.893589
3,1,4,201.382611,-172.734280
3,1,5,301.483124,-174.590884
3,1,6,398.719860,-174.601896
3,1,7,498.508140,-174.589533
3,1,8,598.602654,-173.200508
3,1,9,698.708960,-171.875053
3,1,10,749.638953,-85.370479
3,1,11,801.279840,-1.272429
3,1,12,851.373729,85.270903
3,1,13,948.707431,85.389447
3,2,1,0.000000,0.000000
3,2,2,49.018616,87.128124
3,2,3,99.329077,173.652723
3,2,4,199.794529,174.521672
3,2,5,300.049362,174.704041
3,2,6,398.503589,174.702677
3,2,7,501.498726,174.702251
3,2,8,601.498069,174.702074
3,2,9,699.952746,174.236987
3,2,10,799.903093,173.162392
3,2,11,851.430377,86.598489
3,2,12,951.319499,86.027660
3,2,13,1050.000000,86.602540
4,1,1,0.000000,0.000000
4,1,2,51.333738,-85.000549
4,1,3,101.619148,-171.541673
4,1,4,201.800207,-172.958266
4,1,5,301.972985,-175.019742
4,1,6,398.687414,-175.038970
4,1,7,498.015672,-175.023215
4,1,8,598.175083,-173.569476
4,1,9,698.371017,-171.512170
4,1,10,749.901201,-85.075764
4,1,11,801.605613,-1.601197
4,1,12,851.785247,84.892076
4,1,13,948.361606,85.115985
4,2,1,0.000000,0.000000
4,2,2,48.951254,86.915830
4,2,3,99.467474,173.432496
4,2,4,200.124710,174.913525
4,2,5,300.451341,175.202416
4,2,6,398.012718,175.202968
4,2,7,501.996664,175.202114
4,2,8,601.996163,175.199076
4,2,9,699.556204,174.440931
4,2,10,799.493909,172.776415
4,2,11,851.915732,86.984544
4,2,12,951.779504,86.217543
4,2,13,1050.000000,86.602540
5,1,1,0.000000,0.000000
5,1,2,51.480744,-84.699014
5,1,3,101.930774,-171.217042
5,1,4,202.209691,-173.241805
5,1,5,302.461532,-175.447919
5,1,6,398.770094,-175.477279
5,1,7,497.525724,-175.463175
5,1,8,597.755488,-173.960759
5,1,9,698.059571,-171.177343
5,1,10,750.220691,-84.812400
5,1,11,801.901180,-1.905476
5,1,12,852.188634,84.526512
5,1,13,948.036442,84.881311
5,2,1,0.000000,0.000000
5,2,2,48.966464,86.630289
5,2,3,99.688009,173.144921
5,2,4,200.503741,175.296610
5,2,5,300.886133,175.702651
5,2,6,397.531817,175.704210
5,2,7,502.493099,175.703134
5,2,8,602.493512,175.699321
5,2,9,699.129539,174.607124
5,2,10,799.057368,172.358529
5,2,11,852.407366,87.405347
5,2,12,952.253294,86.484061
5,2,13,1050.000000,86.602540
6,1,1,0.000000,0.000000
6,1,2,51.583110,-84.417808
6,1,3,102.223667,-170.917752
6,1,4,202.613794,-173.558024
6,1,5,302.947909,-175.879838
6,1,6,398.917420,-175.917687
6,1,7,497.036140,-175.907882
6,1,8,597.342349,-174.368251
6,1,9,697.773669,-170.866057
6,1,10,750.571970,-84.564627
6,1,11,802.172995,-2.191143
6,1,12,852.588017,84.169439
6,1,13,947.726958,84.678451
6,2,1,0.000000,0.000000
6,2,2,49.047569,86.296305
6,2,3,99.965402,172.811816
6,2,4,200.913609,175.671757
6,2,5,301.342336,176.203443
6,2,6,397.066736,176.205449
6,2,7,502.987551,176.204320
6,2,8,602.990013,176.201234
6,2,9,698.684788,174.738501
6,2,10,798.604174,171.920513
6,2,11,852.902813,87.847910
6,2,12,952.735722,86.801776
6,2,13,1050.000000,86.602540
7,1,1,0.000000,0.000000
7,1,2,51.648369,-84.152958
7,1,3,102.501384,-170.643634
7,1,4,203.014419,-173.887548
7,1,5,303.430596,-176.319284
7,1,6,399.126229,-176.359949
7,1,7,496.545652,-176.356196
7,1,8,596.934819,-174.787699
7,1,9,697.509120,-170.573979
7,1,10,750.946116,-84.329913
7,1,11,802.425069,-2.461969
7,1,12,852.984953,83.818177
7,1,13,947.429729,84.502352
7,2,1,0.000000,0.000000
7,2,2,49.181803,85.928459
7,2,3,100.283817,172.446421
7,2,4,201.344473,176.039481
7,2,5,301.814014,176.703869
7,2,6,396.625691,176.706000
7,2,7,503.479480,176.704965
7,2,8,603.485565,176.703610
7,2,9,698.228764,174.837917
7,2,10,798.140342,171.469048
7,2,11,853.400477,88.305185
7,2,12,953.223766,87.155469
7,2,13,1050.000000,86.602540
8,1,1,0.000000,0.000000
8,1,2,51.682563,-83.901406
8,1,3,102.766768,-170.390521
8,1,4,203.412474,-174.228469
8,1,5,303.911404,-176.764416
8,1,6,399.391139,-176.803761
8,1,7,496.053431,-176.807247
8,1,8,596.532378,-175.216014
8,1,9,697.262827,-170.297889
8,1,10,751.337148,-84.106146
8,1,11,802.660445,-2.720748
8,1,12,853.380577,83.470753
8,1,13,947.142219,84.349027
8,2,1,0.000000,0.000000
8,2,2,49.359193,85.536002
8,2,3,100.632770,172.057319
8,2,4,201.790348,176.400142
8,2,5,302.297762,177.203231
8,2,6,396.219813,177.205345
8,2,7,503.968274,177.204541
8,2,8,603.980070,177.205525
8,2,9,697.765882,174.908216
8,2,10,797.669714,171.008366
8,2,11,853.899220,88.772869
8,2,12,953.715432,87.535369
8,2,13,1050.000000,86.602540
9,1,1,0.000000,0.000000
9,1,2,51.690732,-83.660652
9,1,3,103.022121,-170.155115
9,1,4,203.808629,-174.578945
9,1,5,304.391609,-177.213903
9,1,6,399.705088,-177.248820
9,1,7,495.558886,-177.260341
9,1,8,596.134670,-175.650861
9,1,9,697.037203,-170.036991
9,1,10,751.733052,-83.878583
9,1,11,802.887562,-2.972175
9,1,12,853.776367,83.125315
9,1,13,946.862447,84.215160
9,2,1,0.000000,0.000000
9,2,2,49.571808,85.125191
9,2,3,101.004978,171.650397
9,2,4,202.247296,176.754038
9,2,5,302.791502,177.700184
9,2,6,395.863194,177.701321
9,2,7,504.453253,177.706878
9,2,8,604.473433,177.700663
9,2,9,697.299314,174.952267
9,2,10,797.194998,170.541387
9,2,11,854.398170,89.248099
9,2,12,954.209290,87.934811
9,2,13,1050.000000,86.602540
10,1,1,0.000000,0.000000
10,1,2,51.677217,-83.428560
10,1,3,103.269391,-169.934686
10,1,4,204.203415,-174.937258
10,1,5,304.872159,-177.666744
10,1,6,400.060634,-177.694842
10,1,7,495.061573,-177.714912
10,1,8,595.741412,-176.090400
10,1,9,696.835048,-169.790905
10,1,10,752.121036,-83.632749
10,1,11,803.118416,-3.222337
10,1,12,854.172921,82.780643
10,1,13,946.588814,84.097873
10,2,1,0.000000,0.000000
10,2,2,49.813237,84.700484
10,2,3,101.395152,171.229899
10,2,4,202.712561,177.101447
10,2,5,303.293918,178.191755
10,2,6,395.570200,178.199402
10,2,7,504.933691,178.204237
10,2,8,604.965570,178.194728
10,2,9,696.831530,174.972971
10,2,10,796.718247,170.070266
10,2,11,854.896623,89.728839
10,2,12,954.704242,88.349003
10,2,13,1050.000000,86.602540
11,1,1,0.000000,0.000000
11,1,2,51.645849,-83.203240
11,1,3,103.510296,-169.726878
11,1,4,204.597280,-175.301816
11,1,5,305.353789,-178.122159
11,1,6,400.450972,-178.141562
11,1,7,494.561143,-178.170482
11,1,8,595.352339,-176.533128
11,1,9,696.653552,-169.557444
11,1,10,752.501653,-83.370669
11,1,11,803.353014,-3.471955
11,1,12,854.570758,82.435701
11,1,13,946.319999,83.994594
11,2,1,0.000000,0.000000
11,2,2,50.078206,84.265208
11,2,3,101.799304,170.799014
11,2,4,203.184114,177.442667
11,2,5,303.804131,178.681809
11,2,6,395.357847,178.694687
11,2,7,505.408761,178.698942
11,2,8,605.456395,178.687683
11,2,9,696.364586,174.973245
11,2,10,796.241110,169.596687
11,2,11,855.393982,90.213561
11,2,12,955.199403,88.774340
11,2,13,1050.000000,86.602540
12,1,1,0.000000,0.000000
12,1,2,51.600091,-82.982966
12,1,3,103.746401,-169.529594
12,1,4,204.990630,-175.671129
12,1,5,305.837113,-178.574990
12,1,6,400.868583,-178.596667
12,1,7,494.057354,-178.622080
12,1,8,594.967175,-176.977760
12,1,9,696.490262,-169.334661
12,1,10,752.875186,-83.093829
12,1,11,803.591495,-3.721705
12,1,12,854.970340,82.089573
12,1,13,946.054892,83.902957
12,2,1,0.000000,0.000000
12,2,2,50.362294,83.821950
12,2,3,102.214317,170.360238
12,2,4,203.660394,177.778029
12,2,5,304.321548,179.169860
12,2,6,395.239124,179.187032
12,2,7,505.877552,179.190845
12,2,8,605.945824,179.178865
12,2,9,695.900289,174.956034
12,2,10,795.764982,169.122030
12,2,11,855.889729,90.701063
12,2,12,955.694024,89.207989
12,2,13,1050.000000,86.602540
13,1,1,0.000000,0.000000
13,1,2,51.543146,-82.766116
13,1,3,103.979173,-169.340901
13,1,4,205.383852,-176.043779
13,1,5,306.322588,-179.025475
13,1,6,401.309695,-179.058449
13,1,7,493.549986,-179.070009
13,1,8,594.585620,-177.423160
13,1,9,696.342971,-169.120769
13,1,10,753.241717,-82.803317
13,1,11,803.834096,-3.972241
13,1,12,855.372103,81.741432
13,1,13,945.792556,83.820729
13,2,1,0.000000,0.000000
13,2,2,50.661718,83.372797
13,2,3,102.637669,169.915596
13,2,4,204.140147,178.107918
13,2,5,304.845754,179.655509
13,2,6,395.220514,179.676309
13,2,7,506.339046,179.679810
13,2,8,606.433774,179.667719
13,2,9,695.440297,174.924315
13,2,10,795.291085,168.647472
13,2,11,856.383400,91.190362
13,2,12,956.187457,89.647634
13,2,13,1050.000000,86.602540
14,1,1,0.000000,0.000000
14,1,2,51.478030,-82.551136
14,1,3,104.210022,-169.158978
14,1,4,205.777335,-176.418391
14,1,5,306.810548,-179.478453
14,1,6,401.772263,-179.517504
14,1,7,493.038855,-179.519289
14,1,8,594.207336,-177.868279
14,1,9,696.209642,-168.914085
14,1,10,753.601183,-82.499921
14,1,11,804.081138,-4.224205
14,1,12,855.776458,81.390512
14,1,13,945.532197,83.745771
14,2,1,0.000000,0.000000
14,2,2,50.973177,82.919489
14,2,3,103.067256,169.466789
14,2,4,204.622327,178.432786
14,2,5,305.376451,180.138425
14,2,6,395.300230,180.162399
14,2,7,506.792113,180.165713
14,2,8,606.920164,180.153775
14,2,9,694.986181,174.881095
14,2,10,794.820524,168.174054
14,2,11,856.874571,91.680619
14,2,12,956.679117,90.091312
14,2,13,1050.000000,86.602540
15,1,1,0.000000,0.000000
15,1,2,51.407632,-82.336521
15,1,3,104.440319,-168.982078
15,1,4,206.171471,-176.793609
15,1,5,307.301329,-179.933302
15,1,6,402.253107,-179.974026
15,1,7,492.523815,-179.969379
15,1,8,593.831951,-178.312120
15,1,9,696.088357,-168.713000
15,1,10,753.953398,-82.184206
15,1,11,804.333004,-4.478233
15,1,12,856.183804,81.036096
15,1,13,945.273156,83.676003
15,2,1,0.000000,0.000000
15,2,2,51.293738,82.463521
15,2,3,103.501270,169.015284
15,2,4,205.106032,178.753155
15,2,5,305.913409,180.618336
15,2,6,395.469690,180.645197
15,2,7,507.235514,180.648443
15,2,8,607.404912,180.636629
15,2,9,694.539468,174.829406
15,2,10,794.354320,167.702721
15,2,11,857.362853,92.171106
15,2,12,957.168473,90.537297
15,2,13,1050.000000,86.602540
16,1,1,0.000000,0.000000
16,1,2,51.334744,-82.120807
16,1,3,104.671408,-168.808513
16,1,4,206.566659,-177.168078
16,1,5,307.795247,-180.389484
16,1,6,402.749723,-180.428151
16,1,7,492.004727,-180.419792
16,1,8,593.459056,-178.753715
16,1,9,695.977283,-168.515956
16,1,10,754.298085,-81.856567
16,1,11,804.590123,-4.734952
16,1,12,856.594525,80.677511
16,1,13,945.014893,83.609398
16,2,1,0.000000,0.000000
16,2,2,51.620750,82.006207
16,2,3,103.938118,168.562387
16,2,4,205.590459,179.069621
16,2,5,306.456440,181.095020
16,2,6,395.716806,181.124613
16,2,7,507.667895,181.127902
16,2,8,607.887933,181.115936
16,2,9,694.101659,174.772290
16,2,10,793.893431,167.234345
16,2,11,857.847884,92.661167
16,2,12,957.655030,90.984033
16,2,13,1050.000000,86.602540
17,1,1,0.000000,0.000000
17,1,2,51.262075,-81.902576
17,1,3,104.904594,-168.636645
17,1,4,206.963302,-177.540438
17,1,5,308.292601,-180.846520
17,1,6,403.260117,-180.879967
17,1,7,491.481455,-180.870083
17,1,8,593.088209,-179.192106
17,1,9,695.874667,-168.321447
17,1,10,754.634901,-81.517287
17,1,11,804.852943,-4.994973
17,1,12,857.008986,80.314133
17,1,13,944.756993,83.543982
17,2,1,0.000000,0.000000
17,2,2,51.951796,81.548725
17,2,3,104.376370,168.109273
17,2,4,206.074879,179.382838
17,2,5,307.005381,181.568294
17,2,6,396.028989,181.600569
17,2,7,508.087795,181.604008
17,2,8,608.369143,181.591401
17,2,9,693.674249,174.712770
17,2,10,793.438762,166.769740
17,2,11,858.329327,93.150210
17,2,12,958.138327,91.430080
17,2,13,1050.000000,86.602540
18,1,1,0.000000,0.000000
18,1,2,51.192240,-81.680478
18,1,3,105.141131,-168.464908
18,1,4,207.361799,-177.909332
18,1,5,308.793665,-181.303988
18,1,6,403.782689,-181.329526
18,1,7,490.953872,-181.319839
18,1,8,592.718950,-179.626349
18,1,9,695.778836,-168.128028
18,1,10,754.963462,-81.166583
18,1,11,805.121901,-5.258868
18,1,12,857.427521,79.945393
18,1,13,944.499160,83.477857
18,2,1,0.000000,0.000000
18,2,2,52.284657,81.092135
18,2,3,104.814728,167.657016
18,2,4,206.558622,179.693495
18,2,5,307.560081,182.038013
18,2,6,396.394906,182.072999
18,2,7,508.493647,182.076691
18,2,8,608.846631,182.059757
18,2,9,693.261890,174.688986
18,2,10,792.990630,166.306937
18,2,11,858.806938,93.638545
18,2,12,958.617577,91.869834
18,2,13,1050.000000,86.602540
19,1,1,0.000000,0.000000
19,1,2,51.127663,-81.453308
19,1,3,105.382137,-168.291881
19,1,4,207.762505,-178.273470
19,1,5,309.298680,-181.761506
19,1,6,404.316132,-181.776852
19,1,7,490.421871,-181.768676
19,1,8,592.350841,-180.055555
19,1,9,695.688268,-167.934392
19,1,10,755.283404,-80.804685
19,1,11,805.397354,-5.527119
19,1,12,857.850404,79.570825
19,1,13,944.241227,83.409295
19,2,1,0.000000,0.000000
19,2,2,52.617329,80.637378
19,2,3,105.252032,167.206574
19,2,4,207.041084,180.002262
19,2,5,308.120404,182.504062
19,2,6,396.805121,182.541851
